title,year,rating,name
The Life of Aleksis Kivi,2001,6.1,Drama
Generation Ax,2001,4.7,Horror
Play Dead,2001,5.9,Comedy
Zigs,2001,4.5,Comedy
Zigs,2001,4.5,Drama
The Stone Raft,2002,6,Drama
The Stone Raft,2002,6,Fantasy
The Tragedy of Man,2011,7.8,Animation
The Tragedy of Man,2011,7.8,Drama
The Tragedy of Man,2011,7.8,History
Kids World,2001,5.2,Adventure
Kids World,2001,5.2,Comedy
Kids World,2001,5.2,Family
Geliebte Clara,2008,5.6,Biography
Geliebte Clara,2008,5.6,Drama
Geliebte Clara,2008,5.6,Music
Kebab Connection,2004,6.7,Action
Kebab Connection,2004,6.7,Comedy
Kebab Connection,2004,6.7,Romance
Killer Bud,2001,4.7,Comedy
The Invisible Circus,2001,5.6,Drama
The Midnight Hour,2001,2.9,Drama
The Midnight Hour,2001,2.9,Thriller
The Proposal,2001,5.4,Drama
The Proposal,2001,5.4,Thriller
15 Minutes,2001,6.1,Action
15 Minutes,2001,6.1,Crime
15 Minutes,2001,6.1,Drama
The Adventures of Pluto Nash,2002,3.8,Action
The Adventures of Pluto Nash,2002,3.8,Comedy
The Adventures of Pluto Nash,2002,3.8,Sci-Fi
Understanding Jane,2001,7,Comedy
Bodywork,2001,5.5,Crime
Minority Report,2002,7.7,Action
Minority Report,2002,7.7,Adventure
Minority Report,2002,7.7,Crime
Osmosis Jones,2001,6.3,Action
Osmosis Jones,2001,6.3,Adventure
Osmosis Jones,2001,6.3,Animation
The Cure for Boredom,2001,5.8,Comedy
The Pavilion,2004,5.2,Drama
The Pavilion,2004,5.2,Western
Phone Booth,2002,7.1,Crime
Phone Booth,2002,7.1,Mystery
Phone Booth,2002,7.1,Thriller
Maryam,2002,7,Drama
O,2001,6.2,Drama
O,2001,6.2,Romance
O,2001,6.2,Thriller
Cowboy Up,2001,5.8,Drama
Cowboy Up,2001,5.8,Romance
Cowboy Up,2001,5.8,Western
Meri Biwi Ka Jawab Nahin,2004,4.5,Action
Meri Biwi Ka Jawab Nahin,2004,4.5,Comedy
Blade II,2002,6.7,Action
Blade II,2002,6.7,Horror
Blade II,2002,6.7,Sci-Fi
Very Annie Mary,2001,6.7,Comedy
Very Annie Mary,2001,6.7,Musical
...Or Forever Hold Your Peace,2001,7.6,Comedy
...Or Forever Hold Your Peace,2001,7.6,Drama
Art City 2: Simplicty,2002,7.9,Documentary
Gabriela,2001,6.9,Drama
Gabriela,2001,6.9,Romance
Cold Blooded,2003,4.8,Crime
Cold Blooded,2003,4.8,Drama
Cold Blooded,2003,4.8,Thriller
Light Drops,2002,7.1,Drama
Jersey Guy,2003,5,Comedy
Jersey Guy,2003,5,Drama
Get Over It,2001,5.8,Comedy
Get Over It,2001,5.8,Romance
Head Games,2001,7.9,Thriller
Head Over Heels,2001,5.4,Comedy
Head Over Heels,2001,5.4,Mystery
Head Over Heels,2001,5.4,Romance
Leo & Claire,2001,6.8,Drama
Leo & Claire,2001,6.8,Romance
Shteps,2002,6.9,Comedy
Black Ball,2003,4.7,Drama
The Order,2001,4.6,Action
The Order,2001,4.6,Adventure
The Order,2001,4.6,Comedy
Orphan,2001,7.2,Drama
Meet Prince Charming,2002,5,Romance
Birds of Passage,2001,7.3,Action
Birds of Passage,2001,7.3,Adventure
Birds of Passage,2001,7.3,Crime
Osmosis,2003,6.1,Comedy
Osmosis,2003,6.1,Drama
Osmosis,2003,6.1,Romance
Berlin Nights,2005,6.4,Drama
Death-Defying Acts,2005,4.8,Drama
Sam the Man,2001,4.2,Comedy
Sam the Man,2001,4.2,Drama
Sam the Man,2001,4.2,Romance
Samsara,2001,7.8,Adventure
Samsara,2001,7.8,Drama
Samsara,2001,7.8,Romance
Olga,2004,6.5,Biography
Olga,2004,6.5,Drama
Olga,2004,6.5,History
Scardanelli,2003,6.2,Drama
See Jane Run,2001,7.5,Comedy
See Jane Run,2001,7.5,Crime
See Jane Run,2001,7.5,Drama
Strange Cargo,2001,3.3,Mystery
Strange Cargo,2001,3.3,Thriller
Stripper Wives,2005,5.9,Drama
Stripper Wives,2005,5.9,Romance
The Surprise Party,2001,6.1,Comedy
The Surprise Party,2001,6.1,Romance
Vampires Anonymous,2003,5.4,Comedy
29 and Holding,2004,8.8,Comedy
Mergers & Acquisitions,2001,7.4,Comedy
Perfect Fit,2001,5.1,Comedy
Perfect Fit,2001,5.1,Thriller
Ken tulta pyytää,2001,5.4,Comedy
Old Master Q 2001,2001,4.7,Action
Old Master Q 2001,2001,4.7,Animation
Riding in Cars with Boys,2001,6.5,Biography
Riding in Cars with Boys,2001,6.5,Comedy
Riding in Cars with Boys,2001,6.5,Drama
The Bank Job,2008,7.3,Crime
The Bank Job,2008,7.3,Drama
The Bank Job,2008,7.3,Romance
The Chameleon,2001,6.4,Thriller
Beyond the City Limits,2001,4.2,Crime
Beyond the City Limits,2001,4.2,Drama
The Body,2001,5.4,Drama
The Body,2001,5.4,Mystery
The Body,2001,5.4,Romance
Longshot,2001,2.9,Action
Longshot,2001,2.9,Comedy
Longshot,2001,2.9,Crime
Sister Blue,2003,4.6,Drama
Sister Blue,2003,4.6,Thriller
Love.com,2002,2.4,Thriller
Rock Star,2001,6.2,Drama
Rock Star,2001,6.2,Music
Moulin Rouge!,2001,7.6,Drama
Moulin Rouge!,2001,7.6,Musical
Moulin Rouge!,2001,7.6,Romance
Rocky Road,2001,5.8,Drama
Rocky Road,2001,5.8,Romance
Death of a Saleswoman,2006,1.8,Comedy
Death of a Saleswoman,2006,1.8,Mystery
Exorcist: The Beginning,2004,5.1,Horror
Exorcist: The Beginning,2004,5.1,Mystery
Exorcist: The Beginning,2004,5.1,Thriller
Firecracker,2005,5.6,Crime
Firecracker,2005,5.6,Drama
Firecracker,2005,5.6,Mystery
Greasewood Flat,2003,7.3,Comedy
Greasewood Flat,2003,7.3,Drama
Home Sweet Hoboken,2001,7.1,Comedy
Trouble Every Day,2001,6,Drama
Trouble Every Day,2001,6,Horror
Trouble Every Day,2001,6,Thriller
Venus and Mars,2001,6.2,Comedy
Venus and Mars,2001,6.2,Romance
AmnesiA,2001,6.8,Comedy
AmnesiA,2001,6.8,Drama
AmnesiA,2001,6.8,Mystery
Alma Mater,2002,6.8,Drama
King of Thieves,2004,7.2,Drama
My First Mister,2001,7.3,Comedy
My First Mister,2001,7.3,Drama
My First Mister,2001,7.3,Romance
Paradise Grove,2003,5.7,Comedy
Paradise Grove,2003,5.7,Drama
The Journey to Kafiristan,2001,6.2,Drama
Man of Corleone,2001,7.1,Action
Man of Corleone,2001,7.1,Comedy
Man of Corleone,2001,7.1,Drama
Ocean Park,2002,6.5,Thriller
Ginostra,2002,4.5,Crime
Ginostra,2002,4.5,Drama
Diary of a City Priest,2001,6.5,Drama
Dying on the Edge,2001,4.3,Drama
Ken Park,2002,5.9,Drama
Fourplay,2001,5.1,Comedy
The Good Bastard,2001,6.1,Drama
Tomorrow by Midnight,2001,5.8,Comedy
Tomorrow by Midnight,2001,5.8,Drama
Tomorrow by Midnight,2001,5.8,Thriller
Moving August,2002,6.4,Comedy
Blow Dry,2001,6.3,Comedy
Blow Dry,2001,6.3,Drama
Blow Dry,2001,6.3,Romance
2046,2004,7.5,Drama
2046,2004,7.5,Romance
2046,2004,7.5,Sci-Fi
A.I. Artificial Intelligence,2001,7.1,Adventure
A.I. Artificial Intelligence,2001,7.1,Drama
A.I. Artificial Intelligence,2001,7.1,Sci-Fi
Bride of the Wind,2001,5.7,Biography
Bride of the Wind,2001,5.7,Drama
Bride of the Wind,2001,5.7,Music
Soulkeeper,2001,5.2,Action
Soulkeeper,2001,5.2,Adventure
Soulkeeper,2001,5.2,Comedy
Delivering Milo,2001,5.8,Comedy
Delivering Milo,2001,5.8,Fantasy
Hannibal,2001,6.8,Crime
Hannibal,2001,6.8,Drama
Hannibal,2001,6.8,Thriller
Lava,2001,5.6,Comedy
Lava,2001,5.6,Crime
Lava,2001,5.6,Thriller
The Resurrection Game,2001,3.8,Comedy
The Resurrection Game,2001,3.8,Horror
The Resurrection Game,2001,3.8,Mystery
Pearl Harbor,2001,6.1,Action
Pearl Harbor,2001,6.1,Drama
Pearl Harbor,2001,6.1,History
Legion of the Dead,2001,3,Comedy
Legion of the Dead,2001,3,Horror
Partition,2007,7,Drama
Partition,2007,7,Romance
Vajont - La diga del disonore,2001,6.4,Drama
Venus on the Halfshell,2005,7.8,Comedy
Venus on the Halfshell,2005,7.8,Romance
Would I Lie to You? 2,2001,6.3,Comedy
Automatic,2001,3.9,Drama
Automatic,2001,3.9,Thriller
Ties and Ropes,2001,5.7,Drama
The Penny Promise,2001,5.8,Comedy
The Penny Promise,2001,5.8,Romance
Terror in the Darkness,2003,3,Drama
Terror in the Darkness,2003,3,Thriller
To Protect and Serve,2001,6.9,Comedy
Edgeplay,2004,7,Documentary
Edgeplay,2004,7,Music
Prison Song,2001,6.7,Drama
Random Acts,2001,6.4,Drama
Second to Die,2002,5.9,Thriller
Exam,2003,7.9,Drama
Te quiero,2001,4.8,Drama
Toutes les nuits,2001,7,Drama
Vortex,2001,6.2,Sci-Fi
Pata negra,2001,4.6,Adventure
Pata negra,2001,4.6,Comedy
Pata negra,2001,4.6,Romance
Circuit,2001,5.2,Drama
Circuit,2001,5.2,Romance
Critical Mass,2001,3.4,Action
Critical Mass,2001,3.4,Thriller
Death and Taxis,2007,8.6,Drama
La flaca Alejandra,2016,8.2,Documentary
Hard Luck,2001,6,Adventure
Hard Luck,2001,6,Drama
Hard Luck,2001,6,Family
The Last Place on Earth,2002,6.3,Comedy
The Last Place on Earth,2002,6.3,Drama
Life Sentence,2004,6.3,Drama
Life Sentence,2004,6.3,Thriller
The Long Run,2001,5.6,Drama
The Long Run,2001,5.6,Sport
Planet Alex,2001,6.1,Comedy
Planet Alex,2001,6.1,Drama
Planet Alex,2001,6.1,Fantasy
Ripley Under Ground,2005,6.1,Crime
Ripley Under Ground,2005,6.1,Drama
Ripley Under Ground,2005,6.1,Thriller
Redemption of the Ghost,2002,5.1,Drama
Strictly Sinatra,2001,5.9,Drama
Strictly Sinatra,2001,5.9,Romance
Scandal: 15 Minutes of Fame,2001,5.6,Crime
Un ange,2001,5.5,Crime
Un ange,2001,5.5,Drama
Unconditional Love,2002,6.9,Comedy
Unconditional Love,2002,6.9,Drama
Unconditional Love,2002,6.9,Musical
P.O.V. - Point of View,2001,5.3,Drama
Reunion,2001,5.8,Drama
Two Degrees,2001,6.4,Crime
Two Degrees,2001,6.4,Drama
Charming Fellow,2001,5.9,Comedy
Charming Fellow,2001,5.9,Drama
Duplicity,2004,5,Crime
Intacto,2001,6.9,Drama
Intacto,2001,6.9,Romance
Intacto,2001,6.9,Thriller
The Krone Experiment,2005,6.7,Mystery
The Krone Experiment,2005,6.7,Romance
The Krone Experiment,2005,6.7,Sci-Fi
Last Seen,2002,5.7,Mystery
Executive Protection,2001,6.4,Action
Executive Protection,2001,6.4,Thriller
Sleepless,2001,6.3,Horror
Sleepless,2001,6.3,Mystery
Sleepless,2001,6.3,Thriller
Perfect Lover,2001,4.1,Comedy
Perfect Lover,2001,4.1,Sci-Fi
Blow,2001,7.6,Biography
Blow,2001,7.6,Crime
Blow,2001,7.6,Drama
Christmas in the Clouds,2001,6.7,Comedy
Christmas in the Clouds,2001,6.7,Family
Christmas in the Clouds,2001,6.7,Romance
The Glass House,2001,5.8,Crime
The Glass House,2001,5.8,Drama
The Glass House,2001,5.8,Mystery
Frozen with Fear,2001,4.5,Crime
Frozen with Fear,2001,4.5,Mystery
Frozen with Fear,2001,4.5,Thriller
Hum Tumhare Hain Sanam,2002,5.4,Drama
Hum Tumhare Hain Sanam,2002,5.4,Romance
Raspberry & Lavender,2004,6.4,Drama
Raspberry & Lavender,2004,6.4,Fantasy
Raspberry & Lavender,2004,6.4,Music
Beyond Re-Animator,2003,5.9,Comedy
Beyond Re-Animator,2003,5.9,Horror
Beyond Re-Animator,2003,5.9,Sci-Fi
Wild Roomies,2004,4.2,Comedy
Wild Roomies,2004,4.2,Drama
Wild Roomies,2004,4.2,Romance
Un amor en Moisés Ville,2001,6.6,Drama
Angel Eyes,2001,5.6,Drama
Angel Eyes,2001,5.6,Romance
G.O.D.,2001,4.1,Action
G.O.D.,2001,4.1,Crime
G.O.D.,2001,4.1,Thriller
Glory Glory,2002,4.4,Action
Glory Glory,2002,4.4,Western
The Score,2001,6.8,Crime
The Score,2001,6.8,Drama
The Score,2001,6.8,Thriller
Spy Kids,2001,5.4,Action
Spy Kids,2001,5.4,Adventure
Spy Kids,2001,5.4,Comedy
Ghosts of Mars,2001,4.9,Action
Ghosts of Mars,2001,4.9,Horror
Ghosts of Mars,2001,4.9,Sci-Fi
Fish Tail,2003,7,Documentary
Rending,2001,5.2,Drama
Green Dragon,2001,6.4,Drama
New Port South,2001,4.9,Drama
Viva Las Nowhere,2001,5.8,Comedy
Viva Las Nowhere,2001,5.8,Crime
Viva Las Nowhere,2001,5.8,Drama
Mayor of the Sunset Strip,2003,7,Biography
Mayor of the Sunset Strip,2003,7,Documentary
Mayor of the Sunset Strip,2003,7,Music
The Others,2001,7.6,Horror
The Others,2001,7.6,Mystery
The Others,2001,7.6,Thriller
Songs for Cassavetes,2001,7.3,Documentary
Songs for Cassavetes,2001,7.3,Music
Deuces Wild,2002,5.6,Action
Deuces Wild,2002,5.6,Crime
Deuces Wild,2002,5.6,Drama
Down to Earth,2001,5.4,Comedy
Down to Earth,2001,5.4,Fantasy
Lying in Wait,2001,4.9,Drama
Lying in Wait,2001,4.9,Thriller
Battle Queen 2020,2001,2.9,Action
Battle Queen 2020,2001,2.9,Sci-Fi
3000 Miles to Graceland,2001,5.9,Action
3000 Miles to Graceland,2001,5.9,Comedy
3000 Miles to Graceland,2001,5.9,Crime
Baran,2001,7.8,Drama
Baran,2001,7.8,Romance
Ice Men,2004,6.2,Drama
The Matrix Reloaded,2003,7.2,Action
The Matrix Reloaded,2003,7.2,Sci-Fi
Monte Carlo,2001,6.6,Drama
Novocaine,2001,5.8,Comedy
Novocaine,2001,5.8,Crime
Novocaine,2001,5.8,Drama
Olivetti 82,2001,6.4,Drama
Olivetti 82,2001,6.4,Thriller
Till Proven Innocent,2004,5.3,Thriller
Cheerleader Ninjas,2002,2.3,Action
Cheerleader Ninjas,2002,2.3,Comedy
Dead in the Water,2002,4.8,Crime
Dead in the Water,2002,4.8,Thriller
Gaudi Afternoon,2001,6.2,Comedy
Gaudi Afternoon,2001,6.2,Drama
Gaudi Afternoon,2001,6.2,Mystery
Alone and Restless,2004,6.3,Drama
Blind Heat,2001,4.4,Thriller
A Crack in the Floor,2001,3.3,Horror
Disco Pigs,2001,6.8,Crime
Disco Pigs,2001,6.8,Drama
Disco Pigs,2001,6.8,Romance
Dr. Benny,2003,7.2,Comedy
Maangamizi: The Ancient One,2001,7.4,Drama
Margarita Happy Hour,2001,5.9,Drama
The Mexican,2001,6.1,Adventure
The Mexican,2001,6.1,Comedy
The Mexican,2001,6.1,Crime
Green Stones,2001,5.6,Adventure
Green Stones,2001,5.6,Drama
Prozac Nation,2001,6.3,Biography
Prozac Nation,2001,6.3,Drama
Prozac Nation,2001,6.3,Romance
The Tailor of Panama,2001,6.1,Comedy
The Tailor of Panama,2001,6.1,Drama
The Tailor of Panama,2001,6.1,Thriller
The Deserter,2003,7,Comedy
The Deserter,2003,7,Drama
The Deserter,2003,7,History
Echos of Enlightenment,2001,6.1,Drama
Echos of Enlightenment,2001,6.1,Mystery
Echos of Enlightenment,2001,6.1,Sci-Fi
Count Axel,2001,5.6,Comedy
Hall of Mirrors,2001,7.5,Crime
Hall of Mirrors,2001,7.5,Mystery
Hall of Mirrors,2001,7.5,Thriller
Hunger,2001,7.3,Drama
Open Mic,2001,8.6,Comedy
Open Mic,2001,8.6,Documentary
Brotherhood of the Wolf,2001,7.1,Action
Brotherhood of the Wolf,2001,7.1,Adventure
Brotherhood of the Wolf,2001,7.1,Drama
The Pledge,2001,6.8,Crime
The Pledge,2001,6.8,Drama
The Pledge,2001,6.8,Mystery
Devdas,2002,7.6,Musical
Devdas,2002,7.6,Romance
Double Take,2001,5.4,Action
Double Take,2001,5.4,Comedy
Double Take,2001,5.4,Crime
Rutenberg,2003,6,Drama
Fortunes,2005,4.5,Comedy
Ghostlight,2003,7.6,Comedy
De grot,2001,6.7,Crime
De grot,2001,6.7,Mystery
De grot,2001,6.7,Romance
Ik ook van jou,2001,6.1,Drama
Ik ook van jou,2001,6.1,Romance
Anji,2004,5.6,Action
Anji,2004,5.6,Adventure
Anji,2004,5.6,Drama
April Is My Religion,2001,7,Drama
Cats & Dogs,2001,5.1,Action
Cats & Dogs,2001,5.1,Comedy
Cats & Dogs,2001,5.1,Family
The Hollywood Sign,2001,5.3,Comedy
The Hollywood Sign,2001,5.3,Crime
Mortal Transfer,2001,6,Comedy
Mortal Transfer,2001,6,Crime
Mortal Transfer,2001,6,Thriller
Tosca,2001,7.4,Drama
Tosca,2001,7.4,Musical
The Angel Doll,2002,6.9,Drama
Brooklyn Babylon,2001,6.1,Drama
Brooklyn Babylon,2001,6.1,Music
Brooklyn Babylon,2001,6.1,Romance
The Center of the World,2001,5.9,Drama
The Center of the World,2001,5.9,Romance
La Ciénaga,2001,7,Comedy
La Ciénaga,2001,7,Drama
Dr. Dolittle 2,2001,4.7,Comedy
Dr. Dolittle 2,2001,4.7,Family
Dr. Dolittle 2,2001,4.7,Fantasy
To the Left of the Father,2001,7.8,Drama
The New Guy,2002,5.9,Comedy
Parallel Worlds,2001,6.8,Drama
Roads and Bridges,2001,6.7,Drama
Sans Elle...,2003,5.4,Drama
Sweetie Pie,2002,2.1,Drama
Sweetie Pie,2002,2.1,Thriller
Sleepwalking Land,2007,6.8,Drama
Exit Wounds,2001,5.5,Action
Exit Wounds,2001,5.5,Comedy
Exit Wounds,2001,5.5,Crime
Harvard Man,2001,4.9,Comedy
Harvard Man,2001,4.9,Crime
Harvard Man,2001,4.9,Drama
The Hole,2001,6.2,Drama
The Hole,2001,6.2,Mystery
The Hole,2001,6.2,Thriller
On the Nose,2001,6.1,Comedy
On the Nose,2001,6.1,Fantasy
Delusional,2003,5.9,Thriller
To Love Too Much,2002,6.2,Drama
To Love Too Much,2002,6.2,Romance
The Doe Boy,2001,7.2,Drama
The Doe Boy,2001,7.2,Romance
Dust,2001,6.7,Drama
Dust,2001,6.7,Romance
Dust,2001,6.7,Western
Mee-Shee: The Water Giant,2005,5.4,Adventure
Mee-Shee: The Water Giant,2005,5.4,Family
Mee-Shee: The Water Giant,2005,5.4,Fantasy
The Closet,2001,7.1,Comedy
Pursuit of Happiness,2001,5.9,Comedy
Pursuit of Happiness,2001,5.9,Romance
Le roman de Lulu,2001,4.9,Romance
When Strangers Appear,2001,6.5,Action
When Strangers Appear,2001,6.5,Mystery
When Strangers Appear,2001,6.5,Thriller
Just for Today,2001,7,Comedy
Just for Today,2001,7,Drama
Speaking of Sex,2001,5.8,Comedy
Speaking of Sex,2001,5.8,Romance
Stuart Little 2,2002,5.4,Adventure
Stuart Little 2,2002,5.4,Animation
Stuart Little 2,2002,5.4,Comedy
Kill Me Later,2001,6.3,Crime
Kill Me Later,2001,6.3,Drama
Kill Me Later,2001,6.3,Thriller
To End All Wars,2001,7.1,Action
To End All Wars,2001,7.1,Drama
To End All Wars,2001,7.1,War
Hitler Meets Christ,2007,4.5,Drama
Hitler Meets Christ,2007,4.5,Fantasy
How It All Went Down,2003,7,Crime
How It All Went Down,2003,7,Drama
How It All Went Down,2003,7,Thriller
Wet Hot American Summer,2001,6.7,Comedy
Wet Hot American Summer,2001,6.7,Romance
40 Days and 40 Nights,2002,5.6,Comedy
40 Days and 40 Nights,2002,5.6,Romance
The American Astronaut,2001,7.2,Comedy
The American Astronaut,2001,7.2,Musical
The American Astronaut,2001,7.2,Sci-Fi
Come Together,2001,7,Comedy
Come Together,2001,7,Drama
Come Together,2001,7,Romance
The Wild Bees,2001,6.8,Comedy
The Wild Bees,2001,6.8,Drama
The Elite,2001,3.7,Action
The Elite,2001,3.7,Crime
The Elite,2001,3.7,Thriller
The Final Curtain,2002,5.8,Drama
Firetrap,2001,5.4,Action
Firetrap,2001,5.4,Crime
Good Advice,2001,6.2,Comedy
Good Advice,2001,6.2,Romance
Intimate Affairs,2001,4.7,Comedy
Intimate Affairs,2001,4.7,Drama
American Outlaws,2001,6,Action
American Outlaws,2001,6,Western
Par 6,2002,7.1,Comedy
Par 6,2002,7.1,Drama
La fiancée de Dracula,2002,4.9,Horror
Swordfish,2001,6.5,Action
Swordfish,2001,6.5,Crime
Swordfish,2001,6.5,Thriller
Two Girls from Lemoore,2003,7,Comedy
War Bride,2001,6.9,Drama
War Bride,2001,6.9,Romance
The Accidental Detective,2003,6.1,Comedy
The Accidental Detective,2003,6.1,Mystery
The Accidental Detective,2003,6.1,Romance
Lázaro de Tormes,2001,6,Comedy
Lázaro de Tormes,2001,6,Drama
Pavilion of Women,2001,5.9,Drama
Pavilion of Women,2001,5.9,Romance
Pavilion of Women,2001,5.9,War
Someone Like You...,2001,6.1,Comedy
Someone Like You...,2001,6.1,Romance
Charlotte Gray,2001,6.4,Drama
Charlotte Gray,2001,6.4,Romance
Charlotte Gray,2001,6.4,Thriller
Killer Instinct,2001,4,Horror
Killer Instinct,2001,4,Thriller
Kingdom Come,2001,5.7,Comedy
Kingdom Come,2001,5.7,Drama
Kingdom Come,2001,5.7,Family
Klassikko,2001,6.9,Comedy
Klassikko,2001,6.9,Drama
Lift,2001,6.3,Crime
Lift,2001,6.3,Drama
Metal,2001,6.4,Drama
Metal,2001,6.4,Sci-Fi
Nailed,2001,4.4,Drama
Nailed,2001,4.4,Romance
Lucky Break,2001,6.2,Comedy
